,name,id,price,promo_price,brand,url
23,"Sterilised сухой корм для пожилых кошек для стерилизованных с индейкой, 1,5 кг",1016698,1669,1669,PRO PLAN®,https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/Pro_Plan_Sterilised_suhoy_korm_dlya_koshek_starshe_7et_indeyka.html?offer=41900
24,"Classic Сухой корм для кошек Ежедневная забота, с курицей, 1.5 кг",1050748,825,825,Ownat,https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/classic-korm-dlya-koshek-daily-care-s-kuricey.html?offer=138252
25,"Indoor Сухой корм для кошек, с ягненком, 1,5 кг",1051884,1699,1699,Grandin,https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/indoor-suhoy-korm-dlya-koshek-s-yagnenkom.html?offer=140799
26,"OCEAN CAT корм сухой для стерилизованных кошек и кастрированных котов, с сельдью и апельсином, 1,5кг",1050318,3425,3425,Farmina,https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/farmina-n-d-oushen-ket-seld-i-apelsin-dlya-sterilizovannyh-koshek-i-kastrirovannyh-kotov-300g.html?offer=137187
27,"Сухой корм для домашних кошек, ягненок с индейкой, 2 кг",1040167,2919,2919,Grandorf,https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/suhoy-korm-grandorf-dlya-domashnih-koshek-yagnenok-s-risom-400g.html?offer=112517
28,"Sterilised сухой корм для взрослых кошек для поддержания здоровья почек после стерилизации с лососем, 1,5 кг",1000002,1669,1669,PRO PLAN®,https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/Pro_Plan_After_Care_suhoy_korm_dlya_kastrirovannyhsterilizovannyh_koshekosostunets.html?offer=41879
29,"Sterilized Корм сухой для стерилизованных кошек, с тунцом, 1.5 кг",1039281,1199,1199,Wellkiss,https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/korm-suhoy-dlya-sterilizovannyh-koshek-s-tuncom.html?offer=110849
30,"Kitten 36 корм для котят в возрасте от 4 до 12 мес, 2 кг",1002589,2119,2119,Royal Canin,https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/Royal_Canin_Kitten_36_suhoy_korm_dlya_kotyat_vozrast_do_12_mes_i_beremennyh_koshek.html?offer=41926
31,"Adult Exigent Корм сухой для привередливых кошек, с индейкой, 8 кг",1054528,4299,4299,Wellkiss,https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/korm-suhoy-dlya-priveredlivyh-koshek-s-indeykoy.html?offer=148192
32,"Gastro Intestinal GI32 корм для кошек при лечении ЖКТ, 2 кг",1003547,3629,3629,Для взрослых,https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/Royal_Canin_Gastro_Intestinal_GI_32_dieticheskiy_suhoy_korm_dlya_koshek_pri_narusheniyah_pishchevareniya.html?offer=48181
33,"Сухой корм для стерилизованных кошек, кролик с индейкой, 2кг",1040169,2919,2919,Grandorf,https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/suhoy-korm-grandorf-dlya-sterilizovannyh-koshek-krolik-s-risom-400g.html?offer=112520
34,"Maine Coon Adult корм для кошек породы мейн-кун старше 15 месяцев, 2 кг",1003903,2555,2555,Royal Canin,https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/Royal_Canin_31_Adult_suhoy_korm_dlya_koshek_porody_Meyn_Kun.html?offer=41942
35,"Adult Grain Free Сухой корм для взрослых кошек, с курицей и индейкой, 1 кг",1044815,1245,1245,Ownat,https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/gf-prime-korm-suhoy-dlya-vzroslyh-koshek-s-kuricey-i-indeykoy.html?offer=124631
36,"Сухой корм для домашних кошек, белая рыба с индейкой, 2 кг",1040171,2919,2919,Grandorf,https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/suhoy-korm-grandorf-dlya-domashnih-koshek-belaya-ryba-s-burym-risom-400g.html?offer=112523
37,"Adult Sterilized Luxury Hairball сухой корм для стерилизованных кошек с ягненком, 10 кг",1056199,5655,5655,UNICA,https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/korm-suhoy-dlya-sterilizovannyh-koshek-s-yagnenkom.html?offer=153005
38,"Корм сухой для взрослых кошек крупных пород, с индейкой и курицей, 2 кг",1056406,1999,1999,Mealfeel,https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/korm-suhoy-dlya-vzroslyh-koshek-krupnyh-porod-s-indeykoy-i-kuricey-400g.html?offer=154260
39,"Adult Classic Корм сухой для кошек, с рыбой, 1.5 кг",1050749,925,925,Ownat,https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/classic-korm-dlya-koshek-s-ryboy.html?offer=138258
40,"Adult Care Hypoallergenic Сухой корм гипоаллергенный для взрослых кошек, с рыбой, 3 кг",1053529,2815,2815,Ownat,https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/ownat-care-korm-dlya-vzroslyh-koshek-hypoallergenic-s-ryboy-pak-1-5kg.html?offer=145770
41,"Vet Life Struvite диетический сухой корм для кошек при мочекаменной болезни, с курицей, 2кг",1043180,3595,3595,Farmina,https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/vet-life-natural-diet-cat-struvite-400-gr.html?offer=120007
42,"Sterilised Сухой корм для стерилизованных кошек с индейкой, 1,5 кг + 400г",1048953,1869,1869,PRO PLAN®,https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/proplan-suh-1-5kg-d-sterkoshaftekeaindkur-1-5kg-400g.html?offer=132686
43,"Ultra Корм для кошек, с курицей и рисом, 1,5 кг",1040789,1645,1645,Ownat,https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/ultra-korm-dlya-koshek-s-kuricey-i-risom.html?offer=113391
44,"Сухой корм для котят, ягненок с индейкой, 2 кг",1040165,2919,2919,Grandorf,https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/suhoy-korm-grandorf-dlya-kotyat-yagnenok-s-risom-400g.html?offer=112514
45,"Exigent 35/30 Savour Sensation корм для кошек, привередливых к вкусу продукта, 2 кг",1000718,2249,2249,Royal Canin,https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/Royal_Canin_Exigent_3530_Savour_Sensation_suhoy_korm_suhoy_dlya_priveredlivyh_koshek.html?offer=45725
46,"Сухой корм для домашних кошек, четыре вида мяса, 2 кг",1040173,3155,3155,Grandorf,https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/suhoy-korm-grandorf-dlya-domashnih-koshek-chetyre-vida-myasa-s-burym-risom-400g.html?offer=112526
47,"Sterilised сухой корм для взрослых кошек для поддержания здоровья почек после стерилизации с индейкой, 3 кг",1000004,3299,3299,PRO PLAN®,https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/Pro_Plan_After_Care_suhoy_korm_dlya_kastrirovannyhsterilizovannyh_koshek_indeykakuritsa.html?offer=45702
48,"Veterinary Diets EN ST/OX Gastrointestinal сухой корм для котят и взрослых кошек для снижения проявлений кишечных расстройств, 1,5 кг",1004832,3079,3079,PRO PLAN® Veterinary Diets,https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/Purina_Veterinary_Diets_EN_dieticheskiy_suhoy_korm_dlya_koshek_pri_patologiyah_GKT.html?offer=42552
49,"N&D PRIME сухой корм для котят, с курицей и гранатом, 1,5кг",1043130,3168,3168,Farmina,https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/farmina-n-d-prime-cat-chicken-pomegranate-kitten-300g.html?offer=119881
50,"HA ST/OX Hypoallergenic Сухой диетический корм для кошек при пищевой непереносимости, 1,3 кг",1002271,3179,3179,PRO PLAN® Veterinary Diets,https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/Purina_Veterinary_Diets_NA_dieticheskiy_suhoy_korm_dlya_koshek_dlya_profilaktiki_allergii.html?offer=42544
51,"Veterinary Diets UR ST/OX Urinary сухой корм для взрослых кошек для взрослых кошек при болезни нижних отделов мочевыводящих путей, с курицей, 1,5 кг",1002394,2879,2879,PRO PLAN® Veterinary Diets,https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/Purina_Veterinary_Diets_UR_dieticheskiy_suhoy_korm_dlya_koshek_pri_MKB.html?offer=42548
52,"Корм сухой для кошек старше 7 лет, с курицей и индейкой, 1,5 кг",1054705,1499,1499,Mealfeel,https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/korm-suhoy-dlya-koshek-starshe-7-let-s-kuricey-i-indeykoy.html?offer=148702
53,"N&D PRIME сухой корм для кошек, с курицей и гранатом, 1,5кг",1043134,2880,2880,Farmina,https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/farmina-n-d-prime-cat-chicken-pomegranate-adult-300g.html?offer=119886
54,"Sterilised сухой корм для взрослых кошек для стерилизованных с чувствительным пищеварением с курицей, 1,5 кг",1030236,1849,1849,PRO PLAN®,https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/proplan-suh-400g-dlya-sterilizovannyh-koshek-s-kuricey.html?offer=86129
55,"Vet Life UltraHypo диетический сухой корм для кошек, гипоаллергенный, с рыбой, 2кг",1043183,4025,4025,Farmina,https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/vet-life-natural-diet-cat-ultrahypo-400-gr.html?offer=120010
